pas_temps	temps_eff
88160324411428.58	1.2247495093796823
88142695872254.12	1.2247495093796823
88125074381675.9	1.2247495093796823
88107459935467.3	1.2247495093796823
88089852529405.06	1.2247495093796823
88072252159269.31	1.2247495093796823
88054658820843.56	1.2247495093796823
88037072509914.7	1.2247495093796823
88019493222272.95	1.2247495093796823
88001920953711.9	1.2247495093796823
87984355700028.53	1.2247495093796823
87966797457023.12	1.2247495093796823
87949246220499.39	1.2247495093796823
87931701986264.3	1.2247495093796823
87914164750128.22	1.2247495093796823
87896634507904.88	1.2247495093796823
87879111255411.27	1.2247495093796823
87861594988467.8	1.2247495093796823
87844085702898.16	1.2247495093796823
87826583394529.38	1.2247495093796823
87809088059191.81	1.2247495093796823
87791599692719.16	1.2247495093796823
87774118290948.4	1.2247495093796823
87756643849719.88	1.2247495093796823
87739176364877.17	1.2247495093796823
87721715832267.25	1.2247495093796823
87704262247740.33	1.2247495093796823
87686815607149.97	1.2247495093796823
87669375906353.0	1.2247495093796823
87651943141209.56	1.2247495093796823
87634517307583.08	1.2247495093796823
87617098401340.27	1.2247495093796823
87599686418351.14	1.2247495093796823
87582281354488.95	1.2247495093796823
87564883205630.3	1.2247495093796823
87547491967655.0	1.2247495093796823
87530107636446.17	1.2247495093796823
87512730207890.19	1.2247495093796823
87495359677876.72	1.2247495093796823
87477996042298.66	1.2247495093796823
87460639297052.17	1.2247495093796823
87443289438036.69	1.2247495093796823
87425946461154.88	1.2247495093796823
87408610362312.69	1.2247495093796823
87391281137419.3	1.2247495093796823
87373958782387.1	1.2247495093796823
87356643293131.77	1.2247495093796823
87339334665572.2	1.2247495093796823
87322032895630.53	1.2247495093796823
87304737979232.11	1.2247495093796823
87287449912305.53	1.2247495093796823
87270168690782.6	1.2247495093796823
87252894310598.36	1.2247495093796823
87235626767691.06	1.2247495093796823
87218366058002.16	1.2247495093796823
87201112177476.34	1.2247495093796823
87183865122061.5	1.2247495093796823
87166624887708.7	1.2247495093796823
87149391470372.27	1.2247495093796823
87132164866009.67	1.2247495093796823
87114945070581.61	1.2247495093796823
87097732080051.95	1.2247495093796823
87080525890387.78	1.2247495093796823
87063326497559.33	1.2247495093796823
87046133897540.06	1.2247495093796823
87028948086306.6	1.2247495093796823
87011769059838.72	1.2247495093796823
86994596814119.38	1.2247495093796823
86977431345134.75	1.2247495093796823
86960272648874.12	1.2247495093796823
86943120721329.97	1.2247495093796823
